created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-11-21T19:50:48+00:00,1,20.911,97.637,0,-61,-63,128,1,0,,,,
2025-11-21T19:51:11+00:00,2,20.986,96.943,0,-67,-67,128,1,0.38,,,,
2025-11-21T19:51:37+00:00,3,20.868,97.263,0,-66,-68,128,1,0.8,,,,
2025-11-21T19:52:00+00:00,4,20.803,97.63,0,-65,-66,128,1,1.18,,,,
2025-11-21T19:52:23+00:00,5,20.868,97.569,0,-64,-64,128,1,1.57,,,,
2025-11-21T19:52:45+00:00,6,20.9,97.454,0,-65,-64,128,1,1.95,,,,
2025-11-21T19:53:08+00:00,7,20.921,97.324,0,-63,-64,128,1,2.33,,,,
2025-11-21T19:53:31+00:00,8,20.814,97.546,0,-63,-64,128,1,2.72,,,,
2025-11-21T19:53:54+00:00,9,20.718,97.866,0,-63,-65,128,1,3.08,,,,
2025-11-21T19:54:16+00:00,10,20.664,98.202,0,-63,-65,128,1,3.47,,,,
2025-11-21T19:54:42+00:00,11,20.61,98.492,0,-65,-64,128,1,3.88,,,,
2025-11-21T19:55:04+00:00,12,20.589,98.736,0,-65,-64,128,1,4.27,,,,
2025-11-21T19:55:27+00:00,13,20.535,98.881,0,-65,-65,128,1,4.65,,,,
2025-11-21T19:55:50+00:00,14,20.567,98.972,0,-70,-67,128,1,5.03,,,,
2025-11-21T19:56:15+00:00,15,20.653,98.782,0,-67,-66,128,1,5.4,,,,
2025-11-21T19:56:38+00:00,16,20.675,98.606,0,-67,-68,128,1,5.82,,,,
2025-11-21T19:57:01+00:00,17,20.707,98.461,0,-66,-67,128,1,6.22,,,,
2025-11-21T19:57:24+00:00,18,20.685,98.476,0,-64,-66,128,1,6.58,,,,
2025-11-21T19:57:46+00:00,19,20.685,98.507,0,-69,-68,128,1,6.97,,,,
2025-11-21T19:58:09+00:00,20,20.632,98.652,0,-67,-67,128,1,7.33,,,,
2025-11-21T19:58:32+00:00,21,20.589,98.743,0,-64,-67,128,1,7.72,,,,
2025-11-21T19:58:55+00:00,22,20.578,98.934,0,-62,-65,128,1,8.1,,,,
2025-11-21T19:59:18+00:00,23,20.589,99.033,0,-62,-65,128,1,8.48,,,,
2025-11-21T19:59:40+00:00,24,20.685,98.812,0,-61,-63,128,1,8.87,,,,
2025-11-21T20:00:03+00:00,25,20.761,98.553,0,-60,-63,128,1,9.25,,,,
2025-11-21T20:00:26+00:00,26,20.814,98.393,0,-61,-62,128,1,9.63,,,,
2025-11-21T20:00:49+00:00,27,20.868,98.301,0,-58,-61,128,1,10.02,,,,
2025-11-21T20:01:12+00:00,28,20.868,98.286,0,-57,-60,128,1,10.38,,,,
2025-11-21T20:04:08+00:00,29,0,0,0,-85,-79,283,2,0.13,,,,
2025-11-21T20:04:32+00:00,30,21.125,97.82,0,-86,-80,283,2,0.53,,,,
2025-11-21T20:04:57+00:00,31,21.2,97.66,0,-87,-80,283,2,0.95,,,,
2025-11-21T20:05:24+00:00,32,21.254,97.393,0,-87,-80,283,2,1.4,,,,
