created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-11-21T19:22:40+00:00,1,21.104,98.209,0,-59,-57,128,1,0.35,,,,
2025-11-21T19:23:02+00:00,2,21.125,98.194,0,-60,-57,128,1,0.73,,,,
2025-11-21T19:23:25+00:00,3,21.136,98.232,0,-60,-58,128,1,1.12,,,,
2025-11-21T19:23:48+00:00,4,21.125,98.156,0,-59,-58,128,1,1.48,,,,
2025-11-21T19:24:11+00:00,5,21.125,98.171,0,-60,-58,128,1,1.87,,,,
2025-11-21T19:24:36+00:00,6,21.147,98.042,0,-59,-57,128,1,2.25,,,,
2025-11-21T19:24:59+00:00,7,21.157,97.996,0,-59,-58,128,1,2.67,,,,
2025-11-21T19:25:22+00:00,8,21.19,97.904,0,-58,-58,128,1,3.05,,,,
2025-11-21T19:25:45+00:00,9,21.125,97.729,0,-59,-58,128,1,3.43,,,,
2025-11-21T19:26:08+00:00,10,21.05,97.668,0,-59,-57,128,1,3.82,,,,
2025-11-21T19:26:33+00:00,11,21.018,97.782,0,-59,-57,128,1,4.2,,,,
2025-11-21T19:26:56+00:00,12,20.964,97.897,0,-59,-57,128,1,4.62,,,,
2025-11-21T19:27:19+00:00,13,20.943,98.019,0,-59,-57,128,1,5,,,,
2025-11-21T19:27:42+00:00,14,20.911,98.202,0,-59,-57,128,1,5.38,,,,
2025-11-21T19:28:04+00:00,15,20.9,98.37,0,-58,-57,128,1,5.77,,,,
2025-11-21T19:28:27+00:00,16,20.954,98.53,0,-57,-57,128,1,6.13,,,,
2025-11-21T19:28:50+00:00,17,20.932,98.515,0,-57,-57,128,1,6.52,,,,
2025-11-21T19:29:18+00:00,18,20.9,98.553,0,-59,-57,128,1,7,,,,
2025-11-21T19:29:44+00:00,19,20.932,98.705,0,-59,-57,128,1,7.42,,,,
2025-11-21T19:30:07+00:00,20,20.975,98.743,0,-60,-57,128,1,7.8,,,,
2025-11-21T19:30:36+00:00,21,20.996,98.644,0,-59,-57,128,1,8.18,,,,
2025-11-21T19:30:59+00:00,22,21.029,98.454,0,-60,-57,128,1,8.68,,,,
2025-11-21T19:31:22+00:00,23,20.986,98.316,0,-59,-56,128,1,9.05,,,,
2025-11-21T19:31:45+00:00,24,20.954,98.309,0,-60,-57,128,1,9.43,,,,
2025-11-21T19:32:08+00:00,25,20.921,98.4,0,-59,-57,128,1,9.82,,,,
2025-11-21T19:32:31+00:00,26,20.921,98.507,0,-58,-57,128,1,10.2,,,,
2025-11-21T19:32:54+00:00,27,20.954,98.545,0,-59,-57,128,1,10.58,,,,
2025-11-21T19:33:58+00:00,28,20.964,98.316,0,-60,-57,128,1,11.67,,,,
2025-11-21T19:34:21+00:00,29,20.986,98.248,0,-59,-57,128,1,12.03,,,,
2025-11-21T19:34:47+00:00,30,20.954,98.125,0,-60,-57,128,1,12.47,,,,
2025-11-21T19:35:10+00:00,31,20.986,98.301,0,-60,-57,128,1,12.85,,,,
