created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-11-21T19:08:49+00:00,1,21.061,97.63,0,-55,-52,128,1,1.57,,,,
2025-11-21T19:09:12+00:00,2,20.975,97.797,0,-54,-52,128,1,1.95,,,,
2025-11-21T19:09:34+00:00,3,20.954,98.019,0,-55,-52,128,1,2.33,,,,
2025-11-21T19:10:13+00:00,4,20.921,98.202,0,-55,-52,128,1,2.7,,,,
2025-11-21T19:10:36+00:00,5,20.921,98.492,0,-54,-52,128,1,3.35,,,,
2025-11-21T19:10:59+00:00,6,20.921,98.576,0,-54,-52,128,1,3.73,,,,
2025-11-21T19:11:24+00:00,7,20.911,98.591,0,-54,-52,128,1,4.15,,,,
2025-11-21T19:11:48+00:00,8,21.447,99.834,0,-54,-51,128,1,4.53,,,,
2025-11-21T19:12:11+00:00,9,21.275,99.766,0,-54,-52,128,1,4.92,,,,
2025-11-21T19:12:33+00:00,10,21.179,98.942,0,-55,-52,128,1,5.3,,,,
2025-11-21T19:12:56+00:00,11,21.039,98.492,0,-54,-52,128,1,5.68,,,,
2025-11-21T19:13:19+00:00,12,20.964,98.37,0,-54,-52,128,1,6.07,,,,
2025-11-21T19:13:43+00:00,13,20.943,98.385,0,-55,-52,128,1,6.47,,,,
2025-11-21T19:14:06+00:00,14,20.911,98.4,0,-54,-52,128,1,6.85,,,,
2025-11-21T19:14:28+00:00,15,20.9,98.415,0,-54,-52,128,1,7.22,,,,
2025-11-21T19:14:54+00:00,16,20.9,98.446,0,-54,-52,128,1,7.6,,,,
2025-11-21T19:15:16+00:00,17,20.868,98.393,0,-55,-52,128,1,8.02,,,,
2025-11-21T19:15:39+00:00,18,20.857,98.545,0,-54,-51,128,1,8.4,,,,
2025-11-21T19:16:02+00:00,19,20.803,98.644,0,-54,-51,128,1,8.78,,,,
2025-11-21T19:16:28+00:00,20,20.814,98.759,0,-54,-51,128,1,9.22,,,,
2025-11-21T19:16:50+00:00,21,20.814,98.85,0,-55,-52,128,1,9.58,,,,
2025-11-21T19:17:13+00:00,22,20.846,98.866,0,-54,-51,128,1,9.97,,,,
2025-11-21T19:17:36+00:00,23,20.878,98.843,0,-53,-51,128,1,10.35,,,,
2025-11-21T19:17:59+00:00,24,20.857,98.843,0,-54,-51,128,1,10.72,,,,
2025-11-21T19:18:21+00:00,25,20.9,98.728,0,-54,-51,128,1,11.1,,,,
2025-11-21T19:18:44+00:00,26,20.911,98.56,0,-53,-51,128,1,11.48,,,,
2025-11-21T19:19:07+00:00,27,20.9,98.461,0,-54,-51,128,1,11.87,,,,
2025-11-21T19:19:30+00:00,28,20.857,98.461,0,-53,-51,128,1,12.25,,,,
2025-11-21T19:19:56+00:00,29,20.836,98.553,0,-54,-51,128,1,12.63,,,,
2025-11-21T19:20:21+00:00,30,20.836,98.705,0,-54,-52,128,1,13.1,,,,
2025-11-21T19:20:44+00:00,31,20.814,98.743,0,-54,-52,128,1,13.48,,,,
