created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-11-21T17:56:25+00:00,1,21.919,94.28,0,-69,-65,128,1,0.83,,,,
2025-11-21T17:56:48+00:00,2,21.897,94.318,0,-66,-65,128,1,1.2,,,,
2025-11-21T17:57:11+00:00,3,21.876,94.372,0,-65,-63,128,1,1.6,,,,
2025-11-21T17:57:34+00:00,4,21.833,94.463,0,-67,-63,128,1,1.98,,,,
2025-11-21T17:59:07+00:00,5,0,0,0,-65,-63,128,1,3.53,,,,
2025-11-21T17:59:30+00:00,6,21.779,94.86,0,-66,-63,128,1,3.92,,,,
2025-11-21T17:59:52+00:00,7,21.736,94.875,0,-67,-64,128,1,4.28,,,,
2025-11-21T18:00:15+00:00,8,21.694,94.967,0,-65,-64,128,1,4.67,,,,
2025-11-21T18:00:38+00:00,9,21.704,95.112,0,-65,-63,128,1,5.03,,,,
2025-11-21T18:01:00+00:00,10,21.747,95.181,0,-65,-62,128,1,5.42,,,,
2025-11-21T18:01:23+00:00,11,21.736,95.142,0,-64,-62,128,1,5.8,,,,
2025-11-21T18:01:46+00:00,12,21.736,95.142,0,-64,-61,128,1,6.18,,,,
2025-11-21T18:02:09+00:00,13,21.715,95.173,0,-64,-61,128,1,6.57,,,,
2025-11-21T18:02:32+00:00,14,21.661,95.211,0,-62,-59,128,1,6.93,,,,
2025-11-21T18:02:54+00:00,15,21.683,95.295,0,-63,-60,128,1,7.32,,,,
2025-11-21T18:03:17+00:00,16,21.694,95.364,0,-64,-61,128,1,7.68,,,,
2025-11-21T18:03:39+00:00,17,21.672,95.356,0,-66,-62,128,1,8.07,,,,
2025-11-21T18:04:02+00:00,18,21.683,95.394,0,-64,-61,128,1,8.45,,,,
2025-11-21T18:04:25+00:00,19,21.672,95.356,0,-63,-60,128,1,8.82,,,,
2025-11-21T18:08:37+00:00,20,21.661,95.333,0,0,0,0,0,0,,,,
2025-11-21T18:15:42+00:00,21,0,0,0,0,0,0,0,0,,,,
2025-11-21T18:17:51+00:00,22,0,0,0,0,0,0,0,0,,,,
2025-11-21T18:18:15+00:00,23,19.045,57.972,0,-79,-69,267,2,0.37,,,,
2025-11-21T18:18:41+00:00,24,19.935,58.72,0,-77,-67,267,1,0.8,,,,
2025-11-21T18:19:04+00:00,25,19.216,56.5,0,-77,-67,267,1,1.18,,,,
2025-11-21T18:19:27+00:00,26,23.034,91.77,0,-78,-67,306,1,1.57,,,,
2025-11-21T18:19:49+00:00,27,22.788,91.061,0,-78,-67,306,1,1.95,,,,
2025-11-21T18:20:12+00:00,28,22.595,91.244,0,-78,-67,306,1,2.32,,,,
2025-11-21T18:20:34+00:00,29,22.498,91.64,0,-78,-67,306,1,2.7,,,,
2025-11-21T18:20:57+00:00,30,22.359,91.999,0,-78,-67,306,1,3.08,,,,
2025-11-21T18:21:20+00:00,31,22.283,92.358,0,-80,-68,306,1,3.47,,,,
