created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-11-21T19:36:38+00:00,1,0,0,0,-59,-59,128,1,0.22,,,,
2025-11-21T19:37:01+00:00,2,21.157,98.469,0,-60,-59,128,1,0.58,,,,
2025-11-21T19:37:23+00:00,3,21.147,98.202,0,-60,-59,128,1,0.97,,,,
2025-11-21T19:37:46+00:00,4,21.147,98.003,0,-59,-59,128,1,1.35,,,,
2025-11-21T19:38:09+00:00,5,21.125,97.935,0,-59,-60,128,1,1.73,,,,
2025-11-21T19:38:34+00:00,6,21.147,97.82,0,-61,-60,128,1,2.12,,,,
2025-11-21T19:38:59+00:00,7,21.157,97.721,0,-62,-61,128,1,2.55,,,,
2025-11-21T19:39:22+00:00,8,21.157,97.607,0,-61,-61,128,1,2.93,,,,
2025-11-21T19:39:45+00:00,9,21.168,97.492,0,-61,-62,128,1,3.32,,,,
2025-11-21T19:40:08+00:00,10,21.125,97.378,0,-61,-62,128,1,3.7,,,,
2025-11-21T19:40:33+00:00,11,21.104,97.363,0,-60,-62,128,1,4.08,,,,
2025-11-21T19:40:56+00:00,12,21.082,97.385,0,-59,-61,128,1,4.5,,,,
2025-11-21T19:41:19+00:00,13,21.082,97.439,0,-59,-60,128,1,4.88,,,,
2025-11-21T19:41:42+00:00,14,21.093,97.5,0,-58,-60,128,1,5.27,,,,
2025-11-21T19:42:05+00:00,15,21.072,97.477,0,-60,-60,128,1,5.65,,,,
2025-11-21T19:42:27+00:00,16,21.061,97.424,0,-60,-60,128,1,6.03,,,,
2025-11-21T19:42:53+00:00,17,21.061,97.332,0,-59,-60,128,1,6.47,,,,
2025-11-21T19:43:17+00:00,18,21.029,97.309,0,-59,-60,128,1,6.85,,,,
2025-11-21T19:43:40+00:00,19,21.018,97.248,0,-59,-59,128,1,7.23,,,,
2025-11-21T19:44:03+00:00,20,20.986,97.416,0,-59,-59,128,1,7.62,,,,
2025-11-21T19:44:25+00:00,21,20.954,97.591,0,-59,-59,128,1,8,,,,
2025-11-21T19:44:48+00:00,22,20.943,97.721,0,-60,-59,128,1,8.38,,,,
2025-11-21T19:45:11+00:00,23,20.921,97.82,0,-60,-59,128,1,8.75,,,,
2025-11-21T19:45:37+00:00,24,20.932,97.782,0,-61,-59,128,1,9.18,,,,
2025-11-21T19:45:59+00:00,25,20.932,97.79,0,-61,-59,128,1,9.57,,,,
2025-11-21T19:46:22+00:00,26,20.911,97.668,0,-61,-60,128,1,9.95,,,,
2025-11-21T19:46:45+00:00,27,20.868,97.668,0,-60,-60,128,1,10.33,,,,
2025-11-21T19:47:08+00:00,28,20.889,97.691,0,-58,-59,128,1,10.7,,,,
2025-11-21T19:47:31+00:00,29,20.878,97.752,0,-59,-59,128,1,11.08,,,,
2025-11-21T19:47:54+00:00,30,20.878,97.706,0,-58,-59,128,1,11.47,,,,
2025-11-21T19:48:16+00:00,31,20.889,97.668,0,-59,-60,128,1,11.85,,,,
2025-11-21T19:48:39+00:00,32,20.9,97.652,0,-59,-59,128,1,12.22,,,,
