created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-11-21T18:24:15+00:00,1,0,0,0,-62,-56,128,1,0.53,,,,
2025-11-21T18:24:41+00:00,2,22.08,94.09,0,-57,-54,128,1,0.97,,,,
2025-11-21T18:25:04+00:00,3,22.005,93.761,0,-55,-53,128,1,1.35,,,,
2025-11-21T18:25:27+00:00,4,21.865,93.822,0,-55,-53,128,1,1.73,,,,
2025-11-21T18:25:50+00:00,5,21.779,94.082,0,-55,-52,128,1,2.12,,,,
2025-11-21T18:26:15+00:00,6,21.726,94.379,0,-55,-52,128,1,2.5,,,,
2025-11-21T18:26:40+00:00,7,21.694,94.639,0,-55,-52,128,1,2.95,,,,
2025-11-21T18:27:41+00:00,8,21.908,95.104,0,-56,-52,128,1,3.97,,,,
2025-11-21T18:28:04+00:00,9,21.972,94.646,0,-56,-53,128,1,4.35,,,,
2025-11-21T18:28:26+00:00,10,21.93,94.395,0,-55,-52,128,1,4.73,,,,
2025-11-21T18:28:49+00:00,11,21.919,94.265,0,-55,-52,128,1,5.1,,,,
2025-11-21T18:29:12+00:00,12,21.908,94.25,0,-55,-52,128,1,5.48,,,,
2025-11-21T18:29:34+00:00,13,21.897,94.265,0,-55,-52,128,1,5.87,,,,
2025-11-21T18:29:57+00:00,14,21.876,94.364,0,-56,-53,128,1,6.23,,,,
2025-11-21T18:30:19+00:00,15,21.887,94.601,0,-56,-53,128,1,6.62,,,,
2025-11-21T18:30:46+00:00,16,21.93,94.456,0,-58,-54,128,1,7.03,,,,
2025-11-21T18:31:10+00:00,17,21.919,94.418,0,-57,-54,128,1,7.43,,,,
2025-11-21T18:31:33+00:00,18,21.908,94.372,0,-57,-54,128,1,7.83,,,,
2025-11-21T18:31:56+00:00,19,21.951,94.402,0,-56,-54,128,1,8.22,,,,
2025-11-21T18:32:19+00:00,20,21.94,94.173,0,-55,-53,128,1,8.6,,,,
2025-11-21T18:32:41+00:00,21,21.962,94.212,0,-57,-53,128,1,8.97,,,,
2025-11-21T18:33:04+00:00,22,21.951,94.143,0,-57,-54,128,1,9.35,,,,
2025-11-21T18:33:27+00:00,23,21.908,94.234,0,-57,-54,128,1,9.73,,,,
2025-11-21T18:33:50+00:00,24,21.919,94.364,0,-56,-53,128,1,10.12,,,,
2025-11-21T18:34:13+00:00,25,22.058,94.585,0,-56,-53,128,1,10.5,,,,
2025-11-21T18:34:42+00:00,26,22.101,94.364,0,-56,-53,128,1,11,,,,
2025-11-21T18:35:08+00:00,27,22.166,94.013,0,-56,-53,128,1,11.42,,,,
2025-11-21T18:35:31+00:00,28,22.155,93.693,0,-56,-53,128,1,11.8,,,,
2025-11-21T18:35:53+00:00,29,22.015,93.563,0,-56,-53,128,1,12.17,,,,
2025-11-21T18:36:16+00:00,30,21.876,93.922,0,-56,-52,128,1,12.57,,,,
2025-11-21T18:36:39+00:00,31,21.962,94.486,0,-55,-52,128,1,12.93,,,,
