created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-11-21T20:48:56+00:00,1,0,0,0,-57,-58,128,1,0.12,,,,
2025-11-21T20:49:19+00:00,2,20.9,97.439,0,-58,-58,128,1,0.48,,,,
2025-11-21T20:49:44+00:00,3,20.836,97.561,0,-58,-59,128,1,0.92,,,,
2025-11-21T20:50:07+00:00,4,20.793,97.721,0,-58,-59,128,1,1.28,,,,
2025-11-21T20:50:29+00:00,5,20.739,97.858,0,-57,-59,128,1,1.67,,,,
2025-11-21T20:50:52+00:00,6,20.728,98.11,0,-58,-59,128,1,2.05,,,,
2025-11-21T20:51:15+00:00,7,20.675,98.37,0,-57,-59,128,1,2.43,,,,
2025-11-21T20:51:38+00:00,8,20.685,98.545,0,-57,-59,128,1,2.82,,,,
2025-11-21T20:52:01+00:00,9,20.664,98.598,0,-57,-58,128,1,3.2,,,,
2025-11-21T20:52:26+00:00,10,20.643,98.713,0,-57,-59,128,1,3.57,,,,
2025-11-21T20:52:49+00:00,11,20.61,98.85,0,-56,-58,128,1,4,,,,
2025-11-21T20:53:12+00:00,12,20.621,98.988,0,-57,-58,128,1,4.38,,,,
2025-11-21T20:53:34+00:00,13,20.589,99.018,0,-57,-58,128,1,4.75,,,,
2025-11-21T20:53:57+00:00,14,20.6,99.041,0,-57,-58,128,1,5.13,,,,
2025-11-21T20:54:20+00:00,15,20.61,99.079,0,-57,-58,128,1,5.52,,,,
2025-11-21T20:54:42+00:00,16,20.589,99.072,0,-56,-57,128,1,5.88,,,,
2025-11-21T20:55:05+00:00,17,20.589,99.079,0,-57,-57,128,1,6.27,,,,
2025-11-21T20:55:30+00:00,18,20.546,99.026,0,-57,-57,128,1,6.68,,,,
2025-11-21T20:55:53+00:00,19,20.514,99.049,0,-57,-58,128,1,7.07,,,,
2025-11-21T20:56:16+00:00,20,20.482,99.087,0,-57,-58,128,1,7.45,,,,
2025-11-21T20:56:39+00:00,21,20.396,99.239,0,-58,-59,128,1,7.82,,,,
2025-11-21T20:57:01+00:00,22,20.353,99.438,0,-57,-59,128,1,8.2,,,,
2025-11-21T20:57:24+00:00,23,20.321,99.598,0,-57,-58,128,1,8.58,,,,
2025-11-21T20:57:55+00:00,24,20.374,99.758,0,-57,-58,128,1,8.97,,,,
2025-11-21T20:58:17+00:00,25,20.396,99.636,0,-57,-58,128,1,9.47,,,,
2025-11-21T20:58:42+00:00,26,20.385,99.659,0,-57,-58,128,1,9.83,,,,
2025-11-21T20:59:06+00:00,27,20.374,99.743,0,-58,-58,128,1,10.28,,,,
2025-11-21T20:59:48+00:00,28,20.385,99.758,0,-57,-58,128,1,10.98,,,,
2025-11-21T21:00:11+00:00,29,20.417,99.796,0,-57,-58,128,1,11.35,,,,
2025-11-21T21:00:33+00:00,30,20.439,99.69,0,-57,-58,128,1,11.73,,,,
2025-11-21T21:00:56+00:00,31,20.46,99.59,0,-55,-57,128,1,12.12,,,,
2025-11-21T21:01:19+00:00,32,20.396,99.529,0,-56,-57,128,1,12.5,,,,
