created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-11-21T20:23:28+00:00,1,0,0,0,-50,-51,128,1,0.07,,,,
2025-11-21T20:23:51+00:00,2,21.093,96.928,0,-49,-50,128,1,0.45,,,,
2025-11-21T20:24:14+00:00,3,21.05,96.867,0,-49,-50,128,1,0.83,,,,
2025-11-21T20:24:37+00:00,4,20.943,96.989,0,-50,-51,128,1,1.2,,,,
2025-11-21T20:24:59+00:00,5,20.836,97.172,0,-50,-51,128,1,1.58,,,,
2025-11-21T20:25:22+00:00,6,20.793,97.439,0,-50,-51,128,1,1.97,,,,
2025-11-21T20:25:45+00:00,7,20.771,97.675,0,-50,-51,128,1,2.33,,,,
2025-11-21T20:26:07+00:00,8,20.664,97.851,0,-50,-51,128,1,2.72,,,,
2025-11-21T20:26:30+00:00,9,20.621,98.103,0,-50,-51,128,1,3.1,,,,
2025-11-21T20:26:53+00:00,10,20.578,98.385,0,-50,-51,128,1,3.47,,,,
2025-11-21T20:27:15+00:00,11,20.535,98.583,0,-50,-51,128,1,3.85,,,,
2025-11-21T20:27:38+00:00,12,20.557,98.728,0,-51,-52,128,1,4.23,,,,
2025-11-21T20:28:01+00:00,13,20.578,98.82,0,-50,-51,128,1,4.62,,,,
2025-11-21T20:28:23+00:00,14,20.546,98.797,0,-50,-51,128,1,4.98,,,,
2025-11-21T20:28:46+00:00,15,20.567,98.881,0,-50,-51,128,1,5.37,,,,
2025-11-21T20:29:08+00:00,16,20.546,98.896,0,-50,-51,128,1,5.73,,,,
2025-11-21T20:29:31+00:00,17,20.46,98.972,0,-51,-53,128,1,6.12,,,,
2025-11-21T20:29:56+00:00,18,20.482,99.117,0,-53,-53,128,1,6.53,,,,
2025-11-21T20:30:19+00:00,19,20.449,99.209,0,-51,-53,128,1,6.9,,,,
2025-11-21T20:30:41+00:00,20,20.471,99.285,0,-49,-51,128,1,7.28,,,,
2025-11-21T20:31:04+00:00,21,20.471,99.308,0,-50,-51,128,1,7.67,,,,
2025-11-21T20:31:26+00:00,22,20.492,99.316,0,-50,-51,128,1,8.03,,,,
2025-11-21T20:31:49+00:00,23,20.514,99.293,0,-52,-52,128,1,8.42,,,,
2025-11-21T20:32:12+00:00,24,20.514,99.216,0,-51,-53,128,1,8.78,,,,
2025-11-21T20:32:37+00:00,25,20.535,99.163,0,-51,-52,128,1,9.22,,,,
2025-11-21T20:34:14+00:00,26,20.514,99.148,0,-51,-52,128,0,9.6,,,,
2025-11-21T20:44:13+00:00,27,0,0,0,0,0,0,1,0,,,,
2025-11-21T20:44:35+00:00,28,20.61,98.728,0,-49,-50,128,1,0.4,,,,
2025-11-21T20:44:58+00:00,29,20.621,98.804,0,-49,-50,128,1,0.78,,,,
2025-11-21T20:45:20+00:00,30,20.61,98.858,0,-50,-51,128,1,1.15,,,,
2025-11-21T20:45:43+00:00,31,20.6,98.866,0,-49,-50,128,1,1.52,,,,
2025-11-21T20:46:05+00:00,32,20.621,98.896,0,-48,-50,128,1,1.9,,,,
