created_at,entry_id,Temperature,Humidity,DisconnectedTotal,RSL_out,RSL_in,RPL_rank,Hopcount,ConnectedTotal
2025-11-09T11:34:51+00:00,1,27.389,54.997,0,-71,-95,939,4,1.57
2025-11-09T11:35:35+00:00,2,27.399,54.333,0,-71,-95,939,4,2.03
2025-11-09T11:36:01+00:00,3,27.474,54.173,0,-68,-93,942,4,2.75
2025-11-09T11:36:33+00:00,4,27.56,54.745,0,-69,-93,942,4,3.22
2025-11-09T11:37:00+00:00,5,27.592,54.417,0,-69,-93,942,4,3.7
2025-11-09T11:37:30+00:00,6,27.625,54.745,0,-70,-94,942,4,4.2
2025-11-09T11:37:56+00:00,7,27.667,54.974,0,-71,-94,983,4,4.67
2025-11-09T11:38:22+00:00,8,27.657,53.951,0,-70,-94,983,4,5.1
2025-11-09T11:38:54+00:00,9,27.635,53.791,0,-71,-94,983,4,5.62
2025-11-09T11:39:29+00:00,10,27.614,53.532,0,-70,-94,983,4,6.17
2025-11-09T11:40:02+00:00,11,27.528,53.463,0,-71,-94,982,4,6.77
2025-11-09T11:40:32+00:00,12,27.528,53.936,0,-71,-94,982,4,7.22
2025-11-09T11:41:00+00:00,13,27.442,54.462,0,-72,-95,982,4,7.72
2025-11-09T11:41:28+00:00,14,27.41,54.783,0,-70,-95,982,4,8.17
2025-11-09T11:42:00+00:00,15,27.303,54.256,0,-70,-94,951,4,8.72
2025-11-09T11:42:34+00:00,16,27.056,54.516,0,-69,-94,951,4,9.18
2025-11-09T11:43:07+00:00,17,26.809,54.874,0,-69,-94,951,4,9.75
2025-11-09T11:43:37+00:00,18,26.488,55.325,0,-69,-93,951,4,10.32
2025-11-09T11:44:04+00:00,19,26.37,55.904,0,-69,-93,952,4,10.78
2025-11-09T11:44:33+00:00,20,26.252,55.996,0,-72,-94,952,4,11.28
2025-11-09T11:45:01+00:00,21,25.876,57.484,0,-74,-97,952,4,11.72
2025-11-09T11:45:29+00:00,22,25.791,57.323,0,-71,-96,952,4,12.17
2025-11-09T11:46:00+00:00,23,25.791,57.4,0,-71,-96,952,4,12.67
2025-11-09T11:46:34+00:00,24,25.04,58.224,0,-71,-96,917,4,13.18
2025-11-09T11:47:04+00:00,25,25.093,57.949,0,-70,-95,917,4,13.78
2025-11-09T11:47:36+00:00,26,25.169,58.147,0,-72,-95,917,4,14.27
2025-11-09T11:48:01+00:00,27,25.265,58.46,0,-71,-95,917,4,14.75
2025-11-09T11:48:40+00:00,28,25.297,57.896,0,-69,-94,917,4,15.33
2025-11-09T11:49:26+00:00,29,25.394,58.376,0,-71,-96,989,4,15.9
2025-11-09T11:50:12+00:00,30,25.104,60.162,0,-70,-95,989,4,16.9
