created_at,entry_id,Temperature,Humidity,DisconnectedTotal,RSL_out,RSL_in,RPL_rank,Hopcount,ConnectedTotal
2025-11-09T15:37:56+00:00,1,21.404,66.7,0,-56,-83,961,3,3.22
2025-11-09T15:38:31+00:00,2,21.383,66.792,0,-60,-85,961,3,3.73
2025-11-09T15:39:03+00:00,3,21.383,67.15,0,-62,-87,1031,3,4.37
2025-11-09T15:39:59+00:00,4,21.361,67.196,0,-69,-88,1031,3,4.88
2025-11-09T15:41:04+00:00,5,21.35,66.906,0,-66,-93,1031,3,6.02
2025-11-09T15:41:52+00:00,6,21.393,67.982,0,-61,-90,1034,3,6.9
2025-11-09T15:44:00+00:00,7,21.501,67.043,0,-63,-88,1071,3,9.1
2025-11-09T15:44:55+00:00,8,21.436,67.295,0,-57,-85,1071,3,9.9
2025-11-09T15:45:28+00:00,9,21.501,67.646,0,-60,-86,1071,3,10.78
2025-11-09T15:46:00+00:00,10,21.501,67.631,0,-60,-86,1071,3,11.27
2025-11-09T15:47:05+00:00,11,21.501,67.448,0,-60,-87,1059,3,11.98
2025-11-09T15:47:47+00:00,12,21.533,67.043,0,-59,-87,1059,3,12.9
2025-11-09T15:48:26+00:00,13,21.511,66.7,0,-61,-88,1059,3,13.55
2025-11-09T15:49:06+00:00,14,21.479,66.387,0,-56,-84,1059,3,14.32
2025-11-09T15:49:42+00:00,15,21.372,66.471,0,-59,-84,1059,3,14.88
2025-11-09T15:50:21+00:00,16,21.232,66.875,0,-62,-86,1080,3,15.5
2025-11-09T15:51:10+00:00,17,21.297,67.158,0,-57,-83,1080,3,16.37
2025-11-09T15:51:59+00:00,18,21.2,66.99,0,-61,-85,1080,3,17.1
2025-11-09T15:53:23+00:00,19,21.35,66.517,0,-56,-83,1140,3,17.93
2025-11-09T15:53:51+00:00,20,21.383,68.363,0,-58,-85,1140,3,19.15
2025-11-09T15:54:32+00:00,21,21.265,69.408,0,-61,-86,1140,3,19.67
2025-11-09T15:55:03+00:00,22,21.168,70.477,0,-59,-87,1196,3,20.38
2025-11-09T15:55:32+00:00,23,21.104,70.995,0,-60,-87,1196,3,20.83
2025-11-09T15:56:02+00:00,24,21.072,71.209,0,-60,-86,1196,3,21.37
2025-11-09T15:56:32+00:00,25,21.029,71.758,0,-59,-86,1196,3,21.82
2025-11-09T15:57:02+00:00,26,20.996,72.475,0,-58,-85,1221,3,22.3
2025-11-09T15:57:31+00:00,27,20.954,72.697,0,-58,-85,1221,3,22.83
2025-11-09T15:58:12+00:00,28,20.9,73.17,0,-61,-86,1221,3,23.3
2025-11-09T15:59:03+00:00,29,20.761,73.711,0,-56,-85,1221,3,24.23
2025-11-09T15:59:30+00:00,30,20.643,73.917,0,-59,-85,1221,3,24.83
